,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
103667,0.70044,0.71978,0.68911,0.85261,0.90912,0.94435,0.85653,0.96508,0.55149,0.06543,0.06624,0.084,50.19,0.0,0.0,1.0
21068,0.61473,0.77922,0.69922,0.68048,0.74729,0.82368,0.68663,0.86354,0.02556,0.00032,0.56449,0.33086,62.14,0.0,0.0,1.0
111111,0.30485,0.30954,0.25505,0.3944,0.86596,0.89132,0.83669,0.91198,0.251,0.00201,0.67267,0.36039,74.65,1.0,0.0,0.0
124900,1.01722,0.95769,0.99856,0.9968,1.00358,1.00377,0.97421,0.99858,0.69813,0.09673,0.08629,0.10468,38.78,0.0,0.0,1.0
166238,0.91815,0.84025,0.87205,0.82927,0.849,0.8756,0.81443,0.88622,0.57324,0.05126,0.09057,0.11141,60.63,0.0,0.0,1.0
102145,0.64897,0.66395,0.71246,0.85528,0.97736,0.99257,0.9383,1.00462,0.56786,0.25239,0.16775,0.20718,48.8,0.0,0.0,1.0
50102,0.24775,0.29054,0.1866,0.37745,0.95167,0.97434,0.92153,0.99242,0.28205,0.00062,0.48484,0.20144,66.13,1.0,0.0,0.0
174432,0.34821,0.39828,0.3256,0.49598,1.07862,1.09748,1.04865,1.11043,0.42189,0.002,0.55112,0.33091,31.23,0.0,0.0,1.0
148782,0.95796,0.89582,0.9505,0.95889,0.97582,0.98495,0.95786,0.99346,0.50714,0.00285,0.32364,0.3901,54.56,0.0,0.0,1.0
59109,0.35656,0.44177,0.53478,0.64584,0.76003,0.8823,0.69896,0.95322,0.00884,0.00068,0.83916,0.46101,79.78,1.0,0.0,0.0
88110,0.49484,0.55444,0.51687,0.69791,0.98213,0.99232,0.95917,1.00041,0.46834,0.00163,0.93997,0.5873,40.59,1.0,0.0,0.0
140460,0.71064,0.57578,0.62963,0.53756,0.60619,0.67873,0.55209,0.71771,0.01428,0.00079,0.09957,0.09489,81.53,0.0,0.0,1.0
