,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
111490,0.57438,0.61011,0.7952,0.80778,0.86916,0.91725,0.85214,0.92927,0.22986,0.00065,0.31299,0.34229,60.5,0.0,0.0,1.0
93826,0.30664,0.3209,0.45243,0.45525,0.54196,0.64078,0.61047,0.78004,0.04029,0.00045,0.90584,0.76019,72.65,1.0,0.0,0.0
47523,0.79181,0.7677,0.78977,0.82036,1.04667,1.076,0.99888,1.09593,0.54957,0.05483,0.70131,0.54268,33.41,0.0,0.0,1.0
98632,0.42883,0.41686,0.44273,0.39923,0.43306,0.4711,0.41019,0.49378,0.0255,0.0006,0.47638,0.36193,72.46,0.0,1.0,0.0
196350,0.74049,0.70327,0.73256,0.75977,0.82766,0.85245,0.8354,0.85889,0.62491,0.19048,0.59517,0.49927,51.19,0.0,0.0,1.0
10182,0.62768,0.78682,0.62575,1.04808,1.10444,1.11053,1.09246,1.115,0.7204,0.0269,0.72441,0.51508,35.63,0.0,0.0,1.0
128618,0.64173,0.65199,0.62233,0.73673,0.95527,0.97311,0.91612,0.98225,0.56352,0.0889,0.07746,0.09585,50.12,0.0,0.0,1.0
90996,0.33312,0.46304,0.31761,0.74485,0.94604,0.97684,0.90383,0.99679,0.19378,0.00041,0.68951,0.31837,51.03,1.0,0.0,0.0
65244,0.27366,0.29464,0.21653,0.34769,0.82592,0.91543,0.76765,0.97007,0.02072,0.00056,0.82798,0.31921,75.97,1.0,0.0,0.0
166320,0.96723,0.90983,0.96003,0.98247,0.99011,0.99279,0.99306,0.99632,0.91301,0.27668,0.10219,0.12243,53.31,0.0,0.0,1.0
133053,0.61944,0.60482,0.59931,0.68343,0.94312,0.94986,0.9191,0.95442,0.60461,0.11703,0.11897,0.14155,57.77,0.0,0.0,1.0
14939,0.49776,0.47651,0.46948,0.50944,0.77817,0.83336,0.72612,0.86743,0.19222,0.00062,0.49375,0.29898,61.86,0.0,0.0,1.0
40563,0.44338,0.33619,0.33962,0.33866,0.50633,0.54839,0.46369,0.56794,0.03693,0.00104,0.32202,0.17843,82.79,0.0,0.0,1.0
55974,0.22841,0.29872,0.19326,0.44408,0.97527,0.98713,0.95331,0.99728,0.44654,0.00128,0.8791,0.45731,56.77,1.0,0.0,0.0
120049,0.63129,0.60975,0.6151,0.67018,0.99555,0.99628,0.98611,0.99568,0.80447,0.2124,0.10794,0.13178,48.88,0.0,0.0,1.0
30756,0.16994,0.24796,0.13815,0.36186,1.01184,1.02154,0.99261,1.03083,0.5349,0.00553,0.74222,0.3782,42.44,1.0,0.0,0.0
197654,0.71954,0.77249,0.82789,0.82325,0.84524,0.86415,0.82327,0.87736,0.67295,0.33532,0.16265,0.19115,70.08,0.0,0.0,1.0
76754,0.38411,0.368,0.36092,0.33449,0.34432,0.35494,0.32016,0.35293,0.05611,0.00029,0.31914,0.25771,42.78,0.0,1.0,0.0
61190,0.38887,0.53851,0.32772,0.77175,0.91019,0.9476,0.88037,0.97887,0.16987,0.00086,0.71992,0.36664,77.36,1.0,0.0,0.0
149863,0.38395,0.41468,0.35053,0.528,0.92137,0.92889,0.91014,0.93726,0.58845,0.11494,0.58076,0.53998,65.94,0.0,1.0,0.0
90389,0.23551,0.30658,0.19525,0.38849,0.91434,0.96459,0.86144,0.9934,0.09489,0.00033,0.80756,0.37279,43.72,1.0,0.0,0.0
