,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
180186,0.79682,0.75386,0.79537,0.81125,0.82405,0.83221,0.82352,0.84021,0.59755,0.08301,0.63249,0.51184,53.5
122017,0.79546,0.7564,0.78431,0.8019,0.81609,0.82206,0.82001,0.82992,0.77583,0.33631,0.15705,0.18454,44.09
19253,0.29388,0.42645,0.42761,0.63997,0.77643,0.81977,0.8223,0.8759,0.43831,0.00959,0.69429,0.46495,50.36
134803,0.5512,0.46057,0.53249,0.57572,0.66279,0.68468,0.64451,0.69729,0.375,0.02194,0.08153,0.0965,82.33
87167,0.27006,0.27985,0.28503,0.42621,0.77424,0.89575,0.85116,0.97286,0.1139,0.00084,0.68069,0.44628,79.33
157289,0.57373,0.60326,0.61083,0.6866,0.79196,0.8606,0.78054,0.93363,0.37422,0.16578,0.21631,0.20004,42.17
148593,0.7295,0.66563,0.70869,0.73426,0.75277,0.75821,0.75985,0.76104,0.74972,0.36165,0.17606,0.20169,73.22
180646,0.82085,0.77713,0.8105,0.83213,0.9657,0.96343,0.93484,0.95258,0.6786,0.12489,0.09896,0.12202,46.26
42691,0.43104,0.41495,0.43379,0.39857,0.4783,0.53722,0.46639,0.56964,0.02727,0.00028,0.46039,0.29772,45.23
49714,0.31327,0.30856,0.35138,0.4055,0.56198,0.62669,0.63498,0.68656,0.30528,0.00299,0.61974,0.41373,58.22
158079,0.89926,0.85172,0.88791,0.88355,0.89257,0.90054,0.87228,0.9034,0.73336,0.16553,0.09295,0.11546,44.24
183952,0.71805,0.67018,0.72145,0.74925,0.76612,0.77876,0.7858,0.79385,0.72303,0.20079,0.13929,0.16364,63.26
27181,0.49434,0.4812,0.51091,0.53619,0.5801,0.59941,0.5909,0.61807,0.35867,0.02632,0.50511,0.34721,43.71
152930,0.4031,0.38779,0.41442,0.44353,0.497,0.51454,0.51342,0.52818,0.34871,0.00917,0.09327,0.1093,33.48
166223,0.49839,0.48043,0.53315,0.54761,0.68675,0.78624,0.73445,0.89298,0.13942,0.02364,0.47648,0.30344,63.0
188894,0.55796,0.49193,0.53868,0.5592,0.58044,0.59105,0.57265,0.59609,0.36229,0.01742,0.07745,0.09432,77.35
138570,0.65377,0.63828,0.6845,0.68526,0.71665,0.74421,0.7065,0.76391,0.40549,0.02547,0.07304,0.09088,35.51
122401,0.23668,0.26634,0.37627,0.4409,0.56164,0.61315,0.6318,0.66841,0.4487,0.02494,0.78763,0.66807,64.76
